basin,runout_cells,min,p25,p50,p75,max
Basin0,2422,0.0,0.14831210672855377,0.27717357873916626,0.44306325912475586,0.9269293546676636
GLOBAL,2402,1.2282771422178484e-05,0.1497860848903656,0.2789041996002197,0.44536352157592773,0.9269293546676636
